"qtl_id"	"gene"	"chr"
"QTL:593"	"EFEMP2"	"2"
"QTL:593"	"LTBP3"	"2"
"QTL:593"	"SF1"	"2"
"QTL:593"	"PPP1R14B"	"2"
"QTL:5228"	"MARVELD2"	"16"
"QTL:8812"	"MARVELD2"	"16"
"QTL:5228"	"CLINT1"	"16"
"QTL:5228"	"HAND1"	"16"
"QTL:1128"	"ABCA5"	"12"
"QTL:5227"	"ABCA5"	"12"
"QTL:5261"	"ABCA5"	"12"
"QTL:4254"	"MPP2"	"12"
"QTL:5227"	"MPP2"	"12"
"QTL:5261"	"MPP2"	"12"
"QTL:6472"	"MPP2"	"12"
"QTL:6479"	"MPP2"	"12"
"QTL:4254"	"MPP3"	"12"
"QTL:5227"	"MPP3"	"12"
"QTL:5261"	"MPP3"	"12"
"QTL:6472"	"MPP3"	"12"
"QTL:6479"	"MPP3"	"12"
"QTL:4254"	"STAT3"	"12"
"QTL:5227"	"STAT3"	"12"
"QTL:5261"	"STAT3"	"12"
"QTL:6472"	"STAT3"	"12"
"QTL:6479"	"STAT3"	"12"
